time,Drone_x,Drone_y,Drone_z,Drone_lat,Drone_lon,Drone_alt,Drone_vx,Drone_vy,Drone_vz,F18_x,F18_y,F18_z,F18_lat,F18_lon,F18_alt,F18_vx,F18_vy,F18_vz
1.7000000000000004,6379637.0,-1932.0,3000.0,0.027124658885987828,-0.017351370091318943,1501.0026639532298,0.0,40.0,0.0,6379359.799310622,-1857.9520965333725,213.0765415063788,0.0019266272639645503,-0.016687067982975087,1223.0734520368278,14.131867416534952,84.10223172890935,126.15874923261697,6379368.730411185,-1810.483058120395,321.4252806974859,0.002906306968194333,-0.016260705362695728,1231.995473398827,26.247583148915567,136.95281457770278,310.94755292395115
1.7500000000000007,6379637.0,-1930.0,3000.0,0.02712465888857903,-0.01733340801157558,1501.0020585888997,0.0,40.0,0.0,6379360.506643298,-1853.746313272616,219.38549018428694,0.0019836722363235663,-0.016649292188198942,1223.7797764446586,14.161440693564359,84.12908876018312,126.19918303369815,6379370.045665764,-1803.6625508571099,337.11646122661136,0.0030481849936682213,-0.01619944419848422,1233.3096112469211,26.362262954856142,135.8642689146022,316.690353527937
1.8000000000000005,6379637.0,-1928.0,3000.0,0.027124658891167545,-0.017315445931828807,1501.001453852281,0.0,40.0,0.0,6379361.215454794,-1849.5391886512273,225.6964583251101,0.002040735455365281,-0.016611504350600388,1224.4875884102657,14.191020198137599,84.15588615904447,126.23952775646718,6379371.366605036,-1796.8969650899696,353.09338001776763,0.003192646583553958,-0.016138676317807132,1234.6295113200322,26.47498288580628,134.7560012028227,322.3770091840001
1.8500000000000008,6379637.0,-1926.0,3000.0,0.027124658893753376,-0.017297483852078632,1501.0008497433737,0.0,40.0,0.0,6379361.925705514,-1845.3307406949218,232.0094188619409,0.0020978166763190344,-0.01657370463220925,1225.1968483487144,14.219009546100507,84.18202270950478,126.27887969979606,6379372.693132893,-1790.1872799968048,369.35321890846825,0.003339666254264227,-0.016078410515163358,1235.9550796095282,26.58581863507034,133.62828877759026,328.0070884924485
1.9000000000000006,6379637.0,-1924.0,3000.0,0.02712465889633653,-0.01727952177232506,1501.0002462603152,0.0,40.0,0.0,6379362.637355842,-1841.1209873184168,238.32434489373128,0.002154915655915376,-0.0165358931940575,1225.9075166573748,14.247004502045526,84.20810297154046,126.31814756161988,6379374.025157056,-1783.5344608437247,385.89313894414335,0.003489218334225364,-0.0160186554600817,1237.2862259326503,26.694847709032516,132.48141067600625,333.58019112811286
1.9500000000000008,6379637.0,-1922.0,3000.0,0.027124658898916992,-0.01726155969256809,1500.999643404968,0.0,40.0,0.0,6379363.350368195,-1836.9099460033697,244.64121016967798,0.0022120321567651344,-0.016498070193281363,1226.6195557676256,14.273490425163006,84.23354077292181,126.35645024558657,6379375.362589166,-1776.9394589144401,402.7102819252265,0.00364127697786629,-0.0159594196964862,1238.6228640293702,26.802149401279074,131.31564706326083,339.0959475674299
2.0000000000000004,6379637.0,-1920.0,3000.0,0.02712465890149477,-0.017243597612807724,1500.999041176401,0.0,40.0,0.0,6379364.0647049695,-1832.6976341266575,250.9599885955401,0.0022691659428962117,-0.016460235786075087,1227.332928086631,14.299981390890657,84.25892544236028,126.39467356456149,6379376.705344873,-1770.4032114678482,419.8017719395181,0.0037958161794742666,-0.01590071164231528,1239.9649116480723,26.90780476968946,130.13127867589625,344.5540187729195
2.05,6379637.0,-1918.0,3000.0,0.02712465890406987,-0.017225635533043973,1500.9984395746142,0.0,40.0,0.0,6379364.780330497,-1828.4840686459183,257.28065470655577,0.0023263167840289535,-0.016422390124861647,1228.047597960569,14.325040425859848,84.28368542661211,126.43195838778382,6379378.053343925,-1763.9266417230474,437.1647168777623,0.0039528097868988124,-0.01584253958938722,1241.3122906312346,27.011896616579573,128.92858628115945,349.95409583765286
2.0999999999999988,6379637.0,-1916.0,3000.0,0.02712465890664228,-0.017207673453276832,1500.99783860147,0.0,40.0,0.0,6379365.497209088,-1824.2692664198587,263.60318318578487,0.002383484451221678,-0.016384533361174593,1228.7635297067463,14.350103987734073,84.30839525911117,126.46916829900745,6379379.406510251,-1757.5106588710005,454.79620993049974,0.004112231515086251,-0.015784911703505072,1242.6649269992486,27.114509472012024,127.70785015153105,355.29589959217867
2.1499999999999977,6379637.0,-1914.0,3000.0,0.027124658909212014,-0.017189711373506313,1500.997238252312,0.0,40.0,0.0,6379366.215306893,-1820.0532439011747,269.92754932589105,0.0024406687210453645,-0.01634666564289534,1229.4806894911453,14.373808892999755,84.33249759684854,126.5054655180143,6379380.76477205,-1751.1561581121114,472.69333106437466,0.004274054959428434,-0.015727836024794214,1244.0227510370314,27.21572958037168,126.46934955355829,360.57918017626616
